Timestamp,User Count,Type,Name,Requests/s,Failures/s,51%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1668261280,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1668261281,1,,Aggregated,0.000000,0.000000,280,280,280,280,280,280,280,280,280,280,280,3,0,280.0,277.79106666639564,274.88330000051064,280.5453999990277,186.0
1668261282,2,,Aggregated,0.000000,0.000000,280,400,550,550,560,560,560,560,560,560,560,7,0,280.0,373.32657142828145,274.88330000051064,555.2060999998503,186.0
1668261283,3,,Aggregated,0.000000,0.000000,540,550,550,560,760,760,760,760,760,760,760,10,0,400.0,446.26644999971177,274.88330000051064,762.495900000431,186.0
1668261284,4,,Aggregated,1.500000,0.000000,550,760,820,820,820,850,850,850,850,850,850,14,0,550.0,554.8852714282475,274.88330000051064,847.5705000000744,186.0
1668261285,5,,Aggregated,2.333333,0.000000,760,820,850,1100,1100,1100,1100,1100,1100,1100,1100,18,0,560.0,674.4546499995623,274.88330000051064,1099.2494000001898,186.0
1668261286,6,,Aggregated,2.750000,0.000000,820,1100,1100,1100,1300,1300,1400,1400,1400,1400,1400,22,0,820.0,789.4162045450602,274.88330000051064,1353.4775999996782,186.0
1668261287,7,,Aggregated,2.800000,0.000000,820,1100,1200,1300,1400,1500,1600,1600,1600,1600,1600,25,0,820.0,873.2194479996542,274.88330000051064,1601.113599999735,186.0
1668261288,8,,Aggregated,3.000000,0.000000,1100,1300,1300,1500,1600,1600,1900,1900,1900,1900,1900,29,0,1100.0,982.6274310341652,274.88330000051064,1857.9960000006395,186.0
1668261289,9,,Aggregated,3.142857,0.000000,1100,1300,1600,1600,1800,1900,1900,1900,1900,1900,1900,33,0,1100.0,1088.5734636361149,274.88330000051064,1899.7486000007484,186.0
1668261290,10,,Aggregated,3.125000,0.000000,1200,1600,1600,1800,2100,2100,2100,2100,2100,2100,2100,37,0,1200.0,1196.4234621619973,274.88330000051064,2088.293300001169,186.0
1668261291,11,,Aggregated,3.222222,0.000000,1300,1600,1900,1900,2100,2300,2300,2300,2300,2300,2300,41,0,1300.0,1304.9579487804117,274.88330000051064,2347.319000000425,186.0
1668261292,12,,Aggregated,3.300000,0.000000,1400,1800,2100,2100,2300,2300,2600,2600,2600,2600,2600,44,0,1300.0,1385.6462977272383,274.88330000051064,2608.2646000013483,186.0
1668261293,13,,Aggregated,3.700000,0.000000,1600,1900,2100,2300,2600,2600,2800,2800,2800,2800,2800,48,0,1500.0,1491.4860354166801,274.88330000051064,2804.7981999989133,186.0
1668261294,14,,Aggregated,3.800000,0.000000,1600,2100,2300,2300,2600,2900,2900,2900,2900,2900,2900,52,0,1600.0,1597.1007980769032,274.88330000051064,2868.4745999998995,186.0
