Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1667845150,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1667845151,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1667845152,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1667845153,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1667845154,5,,Aggregated,0.000000,0.000000,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,1,0,3455.3779999987455,3455.3779999987455,3455.3779999987455,3455.3779999987455,142.0
1667845155,6,,Aggregated,0.000000,0.000000,3100,3100,3500,3500,3500,3500,3500,3500,3500,3500,3500,3,0,3100.0,3067.632333331858,2653.2557000027737,3455.3779999987455,142.0
1667845156,7,,Aggregated,0.000000,0.000000,2800,3100,3100,3500,3500,3500,3500,3500,3500,3500,3500,5,0,2800.0,2766.4866200007964,1798.362300003646,3455.3779999987455,142.0
1667845157,8,,Aggregated,0.600000,0.000000,2800,3000,3100,3100,3500,3500,3500,3500,3500,3500,3500,7,0,2800.0,2732.2615142870095,1798.362300003646,3455.3779999987455,142.0
1667845158,9,,Aggregated,0.600000,0.000000,2900,3000,3100,3100,3500,3500,3500,3500,3500,3500,3500,8,0,2800.0,2753.8144375012052,1798.362300003646,3455.3779999987455,142.0
1667845159,10,,Aggregated,0.833333,0.000000,2900,3000,3100,3500,3700,3700,3700,3700,3700,3700,3700,10,0,2900.0,2859.8337100003846,1798.362300003646,3674.8675999988336,142.0
1667845160,11,,Aggregated,0.857143,0.000000,3000,3100,3500,3500,3500,3700,3700,3700,3700,3700,3700,12,0,2900.0,2958.208691667096,1798.362300003646,3674.8675999988336,142.0
1667845161,12,,Aggregated,1.111111,0.000000,3100,3500,3500,3700,4000,4400,4400,4400,4400,4400,4400,14,0,3000.0,3137.508157143852,1798.362300003646,4387.852600004408,142.0
1667845162,13,,Aggregated,1.111111,0.000000,3100,3500,3700,4000,4400,4500,4500,4500,4500,4500,4500,15,0,3100.0,3231.022740001208,1798.362300003646,4540.2269000042,142.0
1667845163,14,,Aggregated,1.200000,0.000000,3400,3700,4000,4400,4600,4600,4600,4600,4600,4600,4600,17,0,3400.0,3393.562005883295,1798.362300003646,4616.224299999885,142.0
1667845164,15,,Aggregated,1.300000,0.000000,3500,4000,4500,4600,5200,5300,5300,5300,5300,5300,5300,19,0,3500.0,3585.9151000009947,1798.362300003646,5251.276800001506,142.0
1667845165,16,,Aggregated,1.700000,0.000000,3500,4400,4600,4600,5200,5300,6000,6000,6000,6000,6000,21,0,3500.0,3774.3791047631976,1798.362300003646,5954.662200005259,142.0
1667845166,17,,Aggregated,1.700000,0.000000,3700,4500,4600,5200,5300,5800,6000,6000,6000,6000,6000,22,0,3500.0,3866.029377273993,1798.362300003646,5954.662200005259,142.0
1667845167,18,,Aggregated,1.800000,0.000000,4000,4600,5200,5300,5800,6000,6700,6700,6700,6700,6700,24,0,3700.0,4063.3907333346237,1798.362300003646,6706.3935000041965,142.0
1667845168,19,,Aggregated,1.700000,0.000000,4400,5200,5300,5800,6300,6700,6800,6800,6800,6800,6800,26,0,4000.0,4258.13008077071,1798.362300003646,6844.412300008116,142.0
1667845169,20,,Aggregated,1.800000,0.000000,4500,5200,5800,6000,6800,6900,7000,7000,7000,7000,7000,28,0,4400.0,4450.663971429354,1798.362300003646,6979.7110999934375,142.0
1667845170,21,,Aggregated,1.800000,0.000000,4500,5300,5800,6300,6900,7000,7600,7600,7600,7600,7600,29,0,4500.0,4559.84975517314,1798.362300003646,7617.051699999138,142.0
